Up or Down,open,high,low,close,Consensus Estimate Revenue,Actual Revenue,Retained Earnings,Consensus Estimat Earnings Per share,Earnings Per Share,return on Assets,Gross Profit,Net Income,Gross Margin,Profit Margin,Working Capital,Current Ratio (CA/CL),Debt-To-Assets Ratio
0,65.79000092,66.43000031,58.5,58.52000046,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
1,55.63999939,62.75,55.34999847,61.02000046,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,61.97000122,63.5,56,56,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
1,52.99000168,59.75,51.04999924,56.25,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
1,58.95999908,62.20999908,57.36999893,62.02000046,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,63.5,64,54.79999924,55.86000061,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,54.45999908,54.68999863,48.34999847,48.72000122,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
1,46.40000153,50.70000076,43.38999939,50.29000092,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
1,48.83000183,62.33000183,48.40999985,50.65000153,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
1,52.16999817,53.09999847,49.90999985,52.97000122,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,51.86000061,52.95000076,49.91999817,50.22999954,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,50.04999924,52.47000122,47.90000153,49.99000168,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
1,43.36999893,50.90999985,43.31000137,50.31999969,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,44.75,52.31999969,44.5,48.95999908,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
1,49,52.59000015,48.43000031,49.58000183,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
1,51.5,56.29999924,49.06999969,56.04000092,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
1,55.52999878,59.79000092,54.52000046,56.88999939,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,58.75999832,59.88999939,55.08000183,56.70999908,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
1,56.00999832,57.25,55.00999832,57.24000168,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,56.34999847,57.25,55.02000046,55.77000046,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
1,57.15999985,58.72999954,55.22000122,58.45000076,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,57.47000122,58,51.61999893,51.97999954,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,49.79999924,51.04000092,46.29999924,47.22000122,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
1,47.75999832,49.79000092,47.00999832,49.20999908,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,49.97999954,50.68000031,46.86000061,48.45999908,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,47.09999847,48.06000137,44.81000137,46.29999924,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,43.99000168,45.43999863,40.90000153,41.56000137,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
1,41.40000153,45,38.47999954,44.93000031,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,43.61000061,44.5,41.5,41.75,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,39.90999985,41.25999832,39.06999969,39.68999863,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
